Sender Identifier: regionB
Poll interval: 100ms
"Start Time:java.util.GregorianCalendar[time=1304425788213,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""UTC"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2011,MONTH=4,WEEK_OF_YEAR=19,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=123,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=29,SECOND=48,MILLISECOND=213,ZONE_OFFSET=0,DST_OFFSET=0]"
Data format: Time in millis: File content on S3
1304425818141:3 1304425807501
1304425818253:3 1304425807501
1304425818369:3 1304425807501
1304425818485:3 1304425807501
1304425818605:3 1304425807501
1304425818721:3 1304425807501
1304425818833:3 1304425807501
1304425818953:3 1304425807501
1304425819066:4 1304425818600
1304425819209:4 1304425818600
1304425819321:4 1304425818600
1304425819457:4 1304425818600
1304425819573:4 1304425818600
1304425819706:4 1304425818600
1304425819817:4 1304425818600
1304425819941:4 1304425818600
1304425820062:4 1304425818600
1304425820302:4 1304425818600
1304425820418:4 1304425818600
1304425820534:4 1304425818600
1304425820650:4 1304425818600
1304425820762:4 1304425818600
1304425820878:4 1304425818600
1304425821002:4 1304425818600
1304425821122:4 1304425818600
1304425821238:4 1304425818600
1304425821354:4 1304425818600
1304425821470:4 1304425818600
1304425821582:4 1304425818600
1304425821698:4 1304425818600
1304425821822:4 1304425818600
1304425821942:4 1304425818600
1304425822054:4 1304425818600
1304425822166:4 1304425818600
1304425822278:4 1304425818600
1304425822394:4 1304425818600
1304425822510:4 1304425818600
1304425822622:4 1304425818600
1304425822734:4 1304425818600
1304425822850:4 1304425818600
1304425822962:4 1304425818600
1304425823078:4 1304425818600
1304425823190:4 1304425818600
1304425823302:4 1304425818600
1304425823422:4 1304425818600
1304425823534:4 1304425818600
1304425823650:4 1304425818600
1304425823766:4 1304425818600
1304425823878:4 1304425818600
1304425824014:4 1304425818600
1304425824126:4 1304425818600
