Writer
Write interval: 10000ms
Start Time:java.util.GregorianCalendar[time=1314979199358,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="UTC",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=2,minimalDaysInFirstWeek=4,ERA=1,YEAR=2011,MONTH=8,WEEK_OF_YEAR=35,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=245,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=3,HOUR_OF_DAY=15,MINUTE=59,SECOND=59,MILLISECOND=358,ZONE_OFFSET=0,DST_OFFSET=0]
Data format: Time in Millis: Message
Fri Sep 02 18:00:09 CEST 2011: writing0
Fri Sep 02 18:00:09 CEST 2011: finished writing after 192ms
Fri Sep 02 18:00:19 CEST 2011: writing1
Fri Sep 02 18:00:19 CEST 2011: finished writing after 2ms
Fri Sep 02 18:00:29 CEST 2011: writing2
Fri Sep 02 18:00:29 CEST 2011: finished writing after 1ms
Fri Sep 02 18:00:39 CEST 2011: writing3
Fri Sep 02 18:00:39 CEST 2011: finished writing after 3ms
Fri Sep 02 18:00:49 CEST 2011: writing4
Fri Sep 02 18:00:49 CEST 2011: finished writing after 1ms
Fri Sep 02 18:00:59 CEST 2011: writing5
Fri Sep 02 18:00:59 CEST 2011: finished writing after 2ms
Fri Sep 02 18:01:09 CEST 2011: writing6
Fri Sep 02 18:01:09 CEST 2011: finished writing after 2ms
Fri Sep 02 18:01:20 CEST 2011: writing7
Fri Sep 02 18:01:20 CEST 2011: finished writing after 1ms
Fri Sep 02 18:01:30 CEST 2011: writing8
Fri Sep 02 18:01:30 CEST 2011: finished writing after 5ms
Fri Sep 02 18:01:40 CEST 2011: writing9
Fri Sep 02 18:01:40 CEST 2011: finished writing after 0ms
Fri Sep 02 18:01:50 CEST 2011: writing10
Fri Sep 02 18:01:50 CEST 2011: finished writing after 1ms
Fri Sep 02 18:02:00 CEST 2011: writing11
Fri Sep 02 18:02:00 CEST 2011: finished writing after 1ms
Fri Sep 02 18:02:10 CEST 2011: writing12
Fri Sep 02 18:02:10 CEST 2011: finished writing after 2ms
Fri Sep 02 18:02:20 CEST 2011: writing13
Fri Sep 02 18:02:20 CEST 2011: finished writing after 1ms
Fri Sep 02 18:02:30 CEST 2011: writing14
Fri Sep 02 18:02:30 CEST 2011: finished writing after 1ms
Fri Sep 02 18:02:40 CEST 2011: writing15
Fri Sep 02 18:02:40 CEST 2011: finished writing after 1ms
Fri Sep 02 18:02:50 CEST 2011: writing16
Fri Sep 02 18:02:50 CEST 2011: finished writing after 2ms
Fri Sep 02 18:03:00 CEST 2011: writing17
Fri Sep 02 18:03:00 CEST 2011: finished writing after 2ms
Fri Sep 02 18:03:10 CEST 2011: writing18
Fri Sep 02 18:03:10 CEST 2011: finished writing after 3ms
Fri Sep 02 18:03:20 CEST 2011: writing19
Fri Sep 02 18:03:20 CEST 2011: finished writing after 6ms
Fri Sep 02 18:03:30 CEST 2011: writing20
Fri Sep 02 18:03:30 CEST 2011: finished writing after 1ms
Fri Sep 02 18:03:41 CEST 2011: writing21
Fri Sep 02 18:03:41 CEST 2011: finished writing after 1ms
Fri Sep 02 18:03:51 CEST 2011: writing22
Fri Sep 02 18:03:51 CEST 2011: finished writing after 2ms
Fri Sep 02 18:04:01 CEST 2011: writing23
Fri Sep 02 18:04:01 CEST 2011: finished writing after 6ms
Fri Sep 02 18:04:11 CEST 2011: writing24
Fri Sep 02 18:04:11 CEST 2011: finished writing after 2ms
Fri Sep 02 18:04:21 CEST 2011: writing25
Fri Sep 02 18:04:21 CEST 2011: finished writing after 1ms
Fri Sep 02 18:04:31 CEST 2011: writing26
Fri Sep 02 18:04:31 CEST 2011: finished writing after 1ms
Fri Sep 02 18:04:41 CEST 2011: writing27
Fri Sep 02 18:04:41 CEST 2011: finished writing after 1ms
Fri Sep 02 18:04:51 CEST 2011: writing28
Fri Sep 02 18:04:51 CEST 2011: finished writing after 1ms
Fri Sep 02 18:05:01 CEST 2011: writing29
Fri Sep 02 18:05:01 CEST 2011: finished writing after 1ms
Fri Sep 02 18:05:11 CEST 2011: writing30
Fri Sep 02 18:05:11 CEST 2011: finished writing after 1ms
Fri Sep 02 18:05:21 CEST 2011: writing31
Fri Sep 02 18:05:21 CEST 2011: finished writing after 1ms
Fri Sep 02 18:05:31 CEST 2011: writing32
Fri Sep 02 18:05:31 CEST 2011: finished writing after 2ms
Fri Sep 02 18:05:41 CEST 2011: writing33
Fri Sep 02 18:05:41 CEST 2011: finished writing after 2ms
Fri Sep 02 18:05:51 CEST 2011: writing34
Fri Sep 02 18:05:51 CEST 2011: finished writing after 1ms
Fri Sep 02 18:06:01 CEST 2011: writing35
Fri Sep 02 18:06:01 CEST 2011: finished writing after 9ms
Fri Sep 02 18:06:11 CEST 2011: writing36
Fri Sep 02 18:06:11 CEST 2011: finished writing after 1ms
Fri Sep 02 18:06:21 CEST 2011: writing37
Fri Sep 02 18:06:21 CEST 2011: finished writing after 1ms
Fri Sep 02 18:06:31 CEST 2011: writing38
